date,close,volume,Name
8/2/13,188.03,503212,RL
8/5/13,188.3,575057,RL
8/6/13,189.51,881366,RL
8/7/13,173.13,3095543,RL
8/8/13,177.7,1546270,RL
8/9/13,178.95,683054,RL
8/12/13,178.08,560935,RL
8/13/13,178.53,481499,RL
8/14/13,176.76,523519,RL
8/15/13,174.44,678792,RL
8/16/13,172.08,885517,RL
8/19/13,170.23,834553,RL
8/20/13,171.97,464672,RL
8/21/13,171.86,412686,RL
8/22/13,172.36,390826,RL
8/23/13,171.65,386190,RL
8/26/13,170.21,247220,RL
8/27/13,165.78,614146,RL
8/28/13,165.55,651578,RL
8/29/13,166.14,398828,RL
8/30/13,165.41,313403,RL
9/3/13,167.12,753834,RL
9/4/13,166.67,1012238,RL
9/5/13,166,680694,RL
9/6/13,165.18,1293309,RL
9/9/13,165.74,1804821,RL
9/10/13,163.04,2242926,RL
9/11/13,163.9,1476534,RL
9/12/13,163.06,1233346,RL
9/13/13,166.35,869425,RL
9/16/13,167.21,779859,RL
9/17/13,166.68,410887,RL
9/18/13,168.12,831847,RL
9/19/13,168.31,725659,RL
9/20/13,167.33,936604,RL
9/23/13,165,771169,RL
9/24/13,165.18,773105,RL
9/25/13,163,782677,RL
9/26/13,165.53,734143,RL
9/27/13,165.63,800212,RL
9/30/13,164.73,684528,RL
10/1/13,164.93,557564,RL
10/2/13,164.01,839677,RL
10/3/13,164.48,851337,RL
10/4/13,166.69,547695,RL
10/7/13,164.35,565842,RL
10/8/13,161.1,794751,RL
10/9/13,162.4,1071083,RL
10/10/13,163.64,717220,RL
10/11/13,161.34,749972,RL
10/14/13,161.1,654892,RL
10/15/13,158.73,1922623,RL
10/16/13,158.68,1418887,RL
10/17/13,161.68,1353584,RL
10/18/13,163.9,637420,RL
10/21/13,163.61,398490,RL
10/22/13,166.53,915514,RL
10/23/13,164.21,541117,RL
10/24/13,164.7,418579,RL
10/25/13,164.54,445469,RL
10/28/13,165.05,533032,RL
10/29/13,165.61,628198,RL
10/30/13,166.82,679886,RL
10/31/13,165.64,571457,RL
11/1/13,168.8,973235,RL
11/4/13,169.59,935366,RL
11/5/13,171.19,1938815,RL
11/6/13,180.52,3241461,RL
11/7/13,172.81,2559211,RL
11/8/13,173.42,1034484,RL
11/11/13,172.53,1346503,RL
11/12/13,171.49,1194820,RL
11/13/13,176.07,1225367,RL
11/14/13,176.67,830965,RL
11/15/13,175.9,1162242,RL
11/18/13,173.07,730863,RL
11/19/13,173.26,558302,RL
11/20/13,172,605958,RL
11/21/13,171.98,663811,RL
11/22/13,175.02,667079,RL
11/25/13,175.51,507229,RL
11/26/13,175.36,507984,RL
11/27/13,174.31,325261,RL
11/29/13,175.23,265256,RL
12/2/13,174.05,413966,RL
12/3/13,173.15,710851,RL
12/4/13,173.63,602053,RL
12/5/13,173.5,613215,RL
12/6/13,172.29,705780,RL
12/9/13,171.18,596695,RL
12/10/13,171.73,697071,RL
